Film,LAND,
0018615,Germany,1
0018642,Germany,1
0018656,Germany,1
0018657,Germany,1
0018677,France,1
0018688,Norway,1
0018707,Germany,1
0018737,Germany,1
0018739,Germany,1
0018760,Germany,1
0018809,Germany,1
0018810,Germany,1
0018820,Germany,1
0018834,Germany,1
0018848,Germany,1
0018857,Germany,1
0018863,France,1
0018869,Czechoslovakia,1
0018884,Germany,1
0018907,United States,1
0018914,Germany,1
0018918,Germany,1
0018922,Germany,1
0018930,Germany,1
0018934,Germany,1
0018935,Germany,1
0018938,Germany,1
0018961,Germany,1
0018962,Germany,1
0018973,Germany,1
0018989,Germany,1
0018990,Germany,1
0018994,Germany,1
0019019,Germany,1
0019030,Czechoslovakia,1
0019049,Germany,1
0019050,Germany,1
0019054,Germany,1
0019057,Germany,1
0019081,Germany,1
0019083,Germany,1
0019086,Germany,1
0019087,Germany,1
0019088,Germany,1
0019089,Germany,1
0019091,Germany,1
0019110,Germany,1
0019111,Germany,1
0019113,United States,1
0019130,United States,1
0019139,Germany,1
0019140,Germany,1
0019146,Germany,1
0019158,Germany,1
0019174,Germany,1
0019178,Germany,1
0019186,United Kingdom,1
0019198,Germany,1
0019219,United Kingdom,1
0019249,Sweden,1
0019308,Germany,1
0019318,Germany,1
0019341,Germany,1
0019342,Germany,1
0019354,France,1
0019360,Germany,1
0019361,Germany,1
0019362,Germany,1
0019415,Germany,1
0019431,United States,1
0019443,Germany,1
0019446,Germany,1
0019476,Germany,1
0019482,Germany,1
0019511,Germany,1
0019514,Germany,1
0019515,Germany,1
0019552,Germany,1
0019559,Germany,1
0019560,Austria,1
0019586,Germany,1
0019587,Germany,1
0019599,Germany,1
0019610,Germany,1
0019616,Germany,1
0019623,Germany,1
0019624,Germany,1
0019642,Germany,1
0019655,Germany,1
0019657,United Kingdom,1
0019660,Germany,1
0019661,Germany,1
0019718,Germany,1
0019820,Germany,1
0019835,Germany,1
0019841,Germany,1
0019846,Germany,1
0019847,Germany,1
0019850,Czechoslovakia,1
0019851,Germany,1
0019880,Germany,1
0019885,Germany,1
0019901,Germany,1
0019902,Germany,1
0019904,Germany,1
0019909,Germany,1
0019910,Germany,1
0019911,Germany,1
0019918,Germany,1
0019924,Germany,1
0019952,Germany,1
0019953,Germany,1
0019973,Germany,1
0019974,Germany,1
0019981,Germany,1
0020007,Germany,1
0020008,Germany,1
0020011,Germany,1
0020012,Germany,1
0020015,Germany,1
0020023,Germany,1
0020030,United States,1
0020036,Germany,1
0020044,Germany,1
0020054,Germany,1
0020066,Germany,1
0020071,United States,1
0020076,Germany,1
0020093,Germany,1
0020095,Germany,1
0020124,Germany,1
0020134,France,1
0020139,France,1
0020140,Germany,1
0020148,Germany,1
0020155,Germany,1
0020157,Germany,1
0020158,Germany,1
0020159,Germany,1
0020163,Germany,1
0020178,Germany,1
0020193,Germany,1
0020194,Germany,1
0020199,Germany,1
0020200,Germany,1
0020201,Germany,1
0020202,France,1
0020203,United Kingdom,1
0020205,Germany,1
0020206,Germany,1
0020207,Germany,1
0020223,United States,1
0020265,Germany,1
0020269,United Kingdom,1
0020312,Germany,1
0020322,Germany,1
0020326,Germany,1
0020333,Germany,1
0020343,Germany,1
0020344,Italy,1
0020345,United Kingdom,1
0020350,Germany,1
0020368,Germany,1
0020371,Germany,1
0020372,Germany,1
0020373,Germany,1
0020376,Germany,1
0020382,Germany,1
0020383,Germany,1
0020385,Germany,1
0020387,United States,1
0020412,Germany,1
0020427,Czechoslovakia,1
0020430,Germany,1
0020440,Germany,1
0020444,Germany,1
0020460,Germany,1
0020474,Germany,1
0020475,Germany,1
0020482,Germany,1
0020485,Germany,1
0020517,Germany,1
0020544,Austria,1
0020545,Germany,1
0020548,Germany,1
0020569,Germany,1
0020570,Germany,1
0020571,Germany,1
0020573,Germany,1
0020574,Germany,1
0020575,Germany,1
0020593,Germany,1
0020608,Germany,1
0020615,Germany,1
0020619,Germany,1
0020621,Germany,1
0020629,United States,1
0020635,Germany,1
0020636,Germany,1
0020637,Spain,1
0020638,Germany,1
0020642,United States,1
0020675,Germany,1
0020697,Germany,1
0020704,United States,1
0020707,Germany,1
0020712,United States,1
0020719,Germany,1
0020727,Germany,1
0020751,France,1
0020768,United States,1
0020769,United Kingdom,1
0020789,Germany,1
0020800,Germany,1
0020811,Germany,1
0020818,Germany,1
0020820,Germany,1
0020824,Germany,1
0020835,Germany,1
0020841,Germany,1
0020843,Germany,1
0020858,Germany,1
0020893,Germany,1
0020909,Germany,1
0020914,Austria,1
0020917,Germany,1
0020940,Germany,1
0020941,Germany,1
0020944,Germany,1
0020948,Germany,1
0020958,United States,1
0020969,Germany,1
0020970,Germany,1
0020982,Germany,1
0020993,Germany,1
0020994,Germany,1
0020995,Germany,1
0021008,Germany,1
0021019,Germany,1
0021022,Germany,1
0021031,Germany,1
0021064,Germany,1
0021065,Germany,1
0021066,Germany,1
0021067,Germany,1
0021068,Germany,1
0021075,Germany,1
0021082,Germany,1
0021114,United States,1
0021119,Germany,1
0021127,Germany,1
0021128,Germany,1
0021129,United States,1
0021142,United Kingdom,1
0021154,Germany,1
0021155,Germany,1
0021156,United States,1
0021169,Czechoslovakia,1
0021193,Germany,1
0021205,United States,1
0021232,United States,1
0021234,France,1
0021246,Germany,1
0021318,Germany,1
0021340,Germany,1
0021378,Germany,1
0021384,Germany,1
0021397,Germany,1
0021430,Germany,1
0021451,Germany,1
0021452,United States,1
0021458,Germany,1
0021484,Czechoslovakia,1
0021497,United Kingdom,1
0021506,Germany,1
0021517,Germany,1
0021529,Germany,1
0021532,United Kingdom,1
0021538,Germany,1
0021539,Germany,1
0021542,Germany,1
0021552,Germany,1
0021553,Germany,1
0021572,Germany,1
0021573,Germany,1
0021574,Germany,1
0021581,Germany,1
0021609,Germany,1
0021616,Germany,1
0021619,Germany,1
0021628,Germany,1
0021629,Germany,1
0021638,France,1
0021647,United States,1
0021653,Germany,1
0021654,Germany,1
0021674,Germany,1
0021677,Germany,1
0021696,Germany,1
0021700,Germany,1
0021734,Germany,1
0021754,France,1
0021774,France,1
0021780,United States,1
0021784,Germany,1
0021816,Germany,1
0021817,Germany,1
0021818,Germany,1
0021819,United Kingdom,1
0021832,Germany,1
0021833,Germany,1
0021835,Germany,1
0021836,Germany,1
0021841,United States,1
0021846,Germany,1
0021848,Sweden,1
0021852,Germany,1
0021868,United States,1
0021888,Germany,1
0021892,Germany,1
0021893,France,1
0021901,Germany,1
0021902,Germany,1
0021903,France,1
0021914,Germany,1
0021929,Germany,1
0021943,Germany,1
0021952,United States,1
0021960,Germany,1
0021985,Hungary,1
0021993,Germany,1
0022017,Germany,1
0022020,Germany,1
0022027,Germany,1
0022032,Germany,1
0022034,Germany,1
0022035,Germany,1
0022038,Germany,1
0022071,United States,1
0022072,Germany,1
0022074,United States,1
0022092,United Kingdom,1
0022096,Germany,1
0022097,Germany,1
0022099,Germany,1
0022100,Germany,1
0022115,Germany,1
0022121,Germany,1
0022131,Germany,1
0022132,Germany,1
0022140,United States,1
0022162,Germany,1
0022183,Germany,1
0022184,United States,1
0022185,Germany,1
0022186,Germany,1
0022187,Germany,1
0022188,Germany,1
0022189,Germany,1
0022202,Germany,1
0022204,Germany,1
0022222,Germany,1
0022235,Germany,1
0022248,Germany,1
0022280,Germany,1
0022295,Germany,1
0022305,Germany,1
0022323,Germany,1
0022337,France,1
0022345,Germany,1
0022346,Germany,1
0022347,Germany,1
0022348,Germany,1
0022349,Germany,1
0022361,Italy,1
0022362,Germany,1
0022363,Germany,1
0022417,Germany,1
0022427,United States,1
0022444,Germany,1
0022451,United Kingdom,1
0022503,Germany,1
0022516,Germany,1
0022521,Germany,1
0022524,Italy,1
0022532,Germany,1
0022534,Germany,1
0022535,Germany,1
0022543,Germany,1
0022546,Germany,1
0022548,Germany,1
0022552,Germany,1
0022553,Germany,1
0022566,United States,1
0022585,Germany,1
0022594,Germany,1
0022596,Germany,1
0022597,Germany,1
0022605,Germany,1
0022606,Germany,1
0022608,Germany,1
0022612,United States,1
0022648,Germany,1
0022652,Germany,1
0022655,France,1
0022658,United Kingdom,1
0022694,Germany,1
0022695,Germany,1
0022699,Germany,1
0022793,Germany,1
0022803,United States,1
0022818,Germany,1
0022820,Germany,1
0022831,United States,1
0022838,Germany,1
0022839,Germany,1
0022845,Italy,1
0022846,Germany,1
0022851,Germany,1
0022852,Germany,1
0022853,Germany,1
0022858,Germany,1
0022859,Germany,1
0022860,Germany,1
0022867,Czechoslovakia,1
0022869,Germany,1
0022911,Germany,1
0022912,Germany,1
0022919,Germany,1
0022923,Germany,1
0022929,Germany,1
0022930,Germany,1
0022931,Czechoslovakia,1
0022944,Germany,1
0022948,Germany,1
0022950,Germany,1
0022958,United States,1
0022963,Germany,1
0022964,Austria,1
0022965,Germany,1
0022966,Germany,1
0023001,Germany,1
0023002,Germany,1
0023009,Austria,1
0023012,Austria,1
0023047,Germany,1
0023048,Czechoslovakia,1
0023053,Germany,1
0023070,Austria,1
0023076,Germany,1
0023077,Germany,1
0023085,Germany,1
0023095,Germany,1
0023100,Germany,1
0023104,Germany,1
0023134,Germany,1
0023136,Germany,1
0023137,Germany,1
0023138,Germany,1
0023156,France,1
0023160,United Kingdom,1
0023165,United Kingdom,1
0023185,United States,1
0023189,Germany,1
0023190,France,1
0023204,Germany,1
0023211,Germany,1
0023222,United Kingdom,1
0023224,Germany,1
0023226,Germany,1
0023258,Germany,1
0023259,Germany,1
0023260,United States,1
0023282,Italy,1
0023317,Germany,1
0023328,Czechoslovakia,1
0023340,Hungary,1
0023356,Germany,1
0023365,Germany,1
0023373,Germany,1
0023376,Germany,1
0023379,Germany,1
0023387,Germany,1
0023410,United Kingdom,1
0023425,Germany,1
0023426,United States,1
0023432,Germany,1
0023434,Germany,1
0023435,Germany,1
0023436,Germany,1
0023437,Germany,1
0023438,Germany,1
0023448,Germany,1
0023449,Germany,1
0023467,Germany,1
0023480,United States,1
0023501,Germany,1
0023509,Germany,1
0023513,Germany,1
0023515,Germany,1
0023519,Germany,1
0023530,Germany,1
0023535,Germany,1
0023557,Germany,1
0023558,Italy,1
0023563,Germany,1
0023579,Germany,1
0023580,United Kingdom,1
0023600,Germany,1
0023619,Germany,1
0023623,France,1
0023640,Germany,1
0023643,Germany,1
0023657,Germany,1
0023668,Germany,1
0023671,Germany,1
0023679,Germany,1
0023680,Germany,1
0023690,United Kingdom,1
0023702,United States,1
0023713,United Kingdom,1
0023725,Germany,1
